id,name,rate
21087,Green,1028
37193,Wilkes,1028
6061,Placer,1026
48157,Fort Bend,1024
19027,Carroll,1023
40119,Payne,1023
19019,Buchanan,1022
17067,Hancock,1018
29151,Osage,1014
48481,Wharton,1011
22113,Vermilion,1010
26115,Monroe,1009
37097,Iredell,1009
42039,Crawford,1008
6101,Sutter,1006
17051,Fayette,1006
19023,Butler,1006
48133,Eastland,1006
27047,Freeborn,1005
39071,Highland,1005
21069,Fleming,1004
29059,Dallas,1004
55045,Green,1003
8069,Larimer,1002
26159,Van Buren,1001
37047,Columbus,1001
19119,Lyon,999
31067,Gage,999
37155,Robeson,998
26081,Kent,995
27085,McLeod,995
27119,Polk,995
21083,Graves,993
21047,Christian,992
26155,Shiawassee,991
37021,Buncombe,990
26087,Lapeer,989
29121,Macon,989
55065,Lafayette,988
19103,Johnson,987
21097,Harrison,987
48049,Brown,986
17057,Fulton,985
22097,St. Landry,985
47141,Putnam,985
40137,Stephens,984
29131,Miller,981
31107,Knox,981
12069,Lake,980
39151,Stark,980
17177,Stephenson,979
42129,Westmoreland,979
45007,Anderson,979
19141,O'Brien,977
51167,Russell,976
53041,Lewis,974
26045,Eaton,973
27067,Kandiyohi,973
55009,Brown,973
39083,Knox,972
17183,Vermilion,970
47159,Smith,970
27131,Rice,969
5045,Faulkner,967
53065,Stevens,967
40035,Craig,965
48459,Upshur,965
40113,Osage,964
53007,Chelan,964
18027,Daviess,962
24013,Carroll,961
38101,Ward,961
48419,Shelby,961
5015,Carroll,959
17195,Whiteside,959
27013,Blue Earth,959
53053,Pierce,958
17049,Effingham,956
37169,Stokes,956
31141,Platte,955
26025,Calhoun,954
41017,Deschutes,954
20131,Nemaha,953
21169,Metcalfe,953
42085,Mercer,953
20103,Leavenworth,951
21229,Washington,951
17141,Ogle,950
19017,Bremer,950
27091,Martin,949
41045,Malheur,948
47185,White,948
37179,Union,947
40123,Pontotoc,947
12001,Alachua,946
29119,McDonald,942
51083,Halifax,940
18001,Adams,939
27093,Meeker,938
26157,Tuscola,937
39135,Preble,937
46013,Brown,937
18085,Kosciusko,936
39119,Muskingum,936
20085,Jackson,933
17135,Montgomery,932
21081,Grant,932
37009,Ashe,932
29135,Moniteau,931
27143,Sibley,929
47009,Blount,929
53005,Benton,928
55117,Sheboygan,928
19165,Shelby,927
49005,Cache,926
40019,Carter,925
48145,Falls,925
55103,Richland,925
36065,Oneida,923
48255,Karnes,922
55141,Wood,922
21155,Marion,921
21217,Taylor,920
29051,Cole,920
31019,Buffalo,920
42019,Butler,920
47043,Dickson,920
21207,Russell,919
39007,Ashtabula,919
41053,Polk,919
27005,Becker,914
39173,Wood,914
19121,Madison,913
45051,Horry,913
40005,Atoka,912
27169,Winona,910
19013,Black Hawk,909
6045,Mendocino,908
19187,Webster,908
20115,Marion,908
40017,Canadian,908
45083,Spartanburg,907
29177,Ray,906
31027,Cedar,906
19105,Jones,905
26147,St. Clair,905
26161,Washtenaw,905
40021,Cherokee,905
27115,Pine,904
40001,Adair,902
48203,Harrison,902
21183,Ohio,899
47051,Franklin,899
21167,Mercer,898
19123,Mahaska,897
22105,Tangipahoa,896
6021,Glenn,895
29007,Audrain,895
47107,McMinn,895
48469,Victoria,895
19031,Cedar,894
20087,Jefferson,894
26059,Hillsdale,894
48037,Bowie,894
26075,Jackson,892
31039,Cuming,890
48099,Coryell,889
48453,Travis,889
20117,Marshall,887
21171,Monroe,886
48035,Bosque,885
21043,Carter,882
40149,Washita,882
17191,Wayne,880
39109,Miami,880
26067,Ionia,878
39029,Columbiana,878
48041,Brazos,878
20035,Cowley,877
29041,Chariton,876
27041,Douglas,874
17167,Sangamon,873
27043,Faribault,872
39063,Hancock,871
29113,Lincoln,870
19037,Chickasaw,869
40071,Kay,867
47117,Marshall,867
48439,Tarrant,867
5083,Logan,866
27063,Jackson,866
36029,Erie,864
47029,Cocke,864
48053,Burnet,864
42111,Somerset,863
6055,Napa,862
35039,Rio Arriba,861
17149,Pike,860
48055,Caldwell,860
46125,Turner,858
48387,Red River,858
26023,Branch,857
30081,Ravalli,857
18113,Noble,855
22009,Avoyelles,854
39011,Auglaize,854
17103,Lee,852
17179,Tazewell,852
21103,Henry,852
39045,Fairfield,852
48131,Duval,852
49003,Box Elder,852
42041,Cumberland,850
25027,Worcester,849
46067,Hutchinson,849
17095,Knox,848
5063,Independence,847
37081,Guilford,847
55119,Taylor,847
38093,Stutsman,846
17197,Will,845
19077,Guthrie,844
31111,Lincoln,844
38055,McLean,844
40111,Okmulgee,844
55083,Oconto,843
19125,Marion,842
27089,Marshall,842
20099,Labette,841
40031,Comanche,841
42009,Bedford,841
6085,Santa Clara,839
37197,Yadkin,839
39005,Ashland,839
12049,Hardee,838
19005,Allamakee,838
20125,Montgomery,838
20059,Franklin,837
37037,Chatham,837
18175,Washington,836
40115,Ottawa,836
40135,Sequoyah,836
19095,Iowa,834
46083,Lincoln,834
55023,Crawford,833
36009,Cattaraugus,832
12121,Suwannee,831
27083,Lyon,831
29083,Henry,831
1079,Lawrence,830
18099,Marshall,830
55011,Buffalo,830
55035,Eau Claire,830
18055,Greene,829
19083,Hardin,827
48339,Montgomery,827
18137,Ripley,826
46011,Brookings,826
18077,Jefferson,825
30047,Lake,825
55097,Portage,825
38017,Cass,824
39139,Richland,824
39157,Tuscarawas,824
20041,Dickinson,823
38059,Morton,821
38077,Richland,821
17143,Peoria,820
19035,Cherokee,820
48193,Hamilton,820
51067,Franklin,820
39149,Shelby,819
27055,Houston,818
27173,Yellow Medicine,818
21191,Pendleton,817
17157,Randolph,816
30111,Yellowstone,815
27157,Wabasha,814
39103,Medina,814
40133,Seminole,814
17027,Clinton,811
39003,Allen,811
5115,Pope,810
19183,Washington,810
29207,Stoddard,809
51035,Carroll,807
8029,Delta,806
12127,Volusia,805
17203,Woodford,805
48441,Taylor,805
17163,St. Clair,804
39069,Henry,804
47053,Gibson,804
17081,Jefferson,803
42001,Adams,803
55061,Kewaunee,803
47123,Monroe,801
48291,Liberty,801
48303,Lubbock,801
29163,Pike,800
18135,Randolph,799
26117,Montcalm,799
27073,Lac qui Parle,797
36045,Jefferson,797
42075,Lebanon,797
45075,Orangeburg,797
51077,Grayson,797
47155,Sevier,796
19081,Hancock,795
27101,Murray,795
47125,Montgomery,795
19161,Sac,794
19021,Buena Vista,793
37057,Davidson,793
1003,Baldwin,792
6031,Kings,792
21079,Garrard,792
17085,Jo Daviess,791
17121,Marion,791
46109,Roberts,791
19051,Davis,790
48473,Waller,790
39167,Washington,788
19151,Pocahontas,787
21163,Meade,787
21187,Owen,787
26057,Gratiot,787
51061,Fauquier,787
51107,Loudoun,787
6053,Monterey,786
17111,McHenry,786
27009,Benton,786
39017,Butler,786
29033,Carroll,785
1083,Limestone,784
26073,Isabella,784
19025,Calhoun,783
19169,Story,783
21049,Clark,783
37157,Rockingham,783
40023,Choctaw,783
49057,Weber,783
19107,Keokuk,782
19049,Dallas,781
27135,Roseau,780
19069,Franklin,779
19085,Harrison,779
19089,Howard,778
40083,Logan,778
19029,Cass,777
40027,Cleveland,777
1089,Madison,776
21123,Larue,776
19145,Page,775
38049,McHenry,774
20139,Osage,773
27019,Carver,773
36117,Wayne,773
18093,Lawrence,771
19157,Poweshiek,771
29141,Morgan,770
29157,Perry,770
37191,Wayne,769
41035,Klamath,769
28067,Jones,767
29195,Saline,767
22041,Franklin,766
29057,Dade,765
31159,Seward,765
40073,Kingfisher,764
29015,Benton,762
17091,Kankakee,761
47031,Coffee,761
29039,Cedar,760
19163,Scott,759
40087,McClain,759
19127,Marshall,758
22079,Rapides,756
27033,Cottonwood,756
29011,Barton,755
39065,Hardin,755
22117,Washington,754
48067,Cass,754
36077,Otsego,753
21209,Scott,752
29053,Cooper,752
6089,Shasta,751
31003,Antelope,750
26149,St. Joseph,749
27079,Le Sueur,749
29125,Maries,749
47183,Weakley,749
39155,Trumbull,748
17109,McDonough,747
20177,Shawnee,747
6023,Humboldt,746
27139,Scott,746
5149,Yell,745
40109,Oklahoma,745
21203,Rockcastle,744
27037,Dakota,744
17137,Morgan,743
20111,Lyon,743
17037,DeKalb,742
21089,Greenup,742
31119,Madison,742
36011,Cayuga,741
5033,Crawford,740
20201,Washington,740
39143,Sandusky,740
46005,Beadle,740
5113,Polk,739
12101,Pasco,739
51173,Smyth,739
19007,Appanoose,738
39021,Champaign,738
47133,Overton,738
53067,Thurston,738
18075,Jay,737
17021,Christian,736
21231,Wayne,736
30029,Flathead,736
18065,Henry,735
13045,Carroll,734
18071,Jackson,734
26015,Barry,734
29003,Andrew,734
29153,Ozark,734
19079,Hamilton,733
29025,Caldwell,733
38105,Williams,733
21017,Bourbon,732
29061,Daviess,732
29115,Linn,732
37087,Haywood,732
40091,McIntosh,732
47091,Johnson,732
54077,Preston,732
8125,Yuma,731
40039,Custer,731
48365,Panola,731
56013,Fremont,731
18037,Dubois,730
19001,Adair,730
19067,Floyd,730
20045,Douglas,730
19111,Lee,729
1039,Covington,728
21135,Lewis,728
27147,Steele,728
39113,Montgomery,728
18133,Putnam,727
23003,Aroostook,727
40145,Wagoner,727
19015,Boone,726
29073,Gasconade,726
29137,Monroe,725
38003,Barnes,725
39053,Gallia,723
24043,Washington,722
48061,Cameron,722
8075,Logan,721
20037,Crawford,721
38015,Burleigh,721
39025,Clermont,721
42117,Tioga,721
39031,Coshocton,720
39093,Lorain,720
51171,Shenandoah,720
48399,Runnels,719
21109,Jackson,718
27025,Chisago,718
55139,Winnebago,718
1055,Etowah,717
21011,Bath,717
29081,Harrison,717
48451,Tom Green,717
39051,Fulton,716
20011,Bourbon,715
27117,Pipestone,715
55131,Washington,715
31131,Otoe,713
18047,Franklin,712
47017,Carroll,712
53075,Whitman,712
29149,Oregon,711
42081,Lycoming,711
12063,Jackson,710
15009,Maui,710
29017,Bollinger,709
1059,Franklin,708
27121,Pope,708
27133,Rock,708
39077,Huron,708
46093,Meade,708
19147,Palo Alto,707
39039,Defiance,707
17045,Edgar,706
1061,Geneva,705
21161,Mason,705
34037,Sussex,705
40061,Haskell,705
26049,Genesee,704
19075,Grundy,703
17189,Washington,702
38089,Stark,702
39059,Guernsey,702
40063,Hughes,702
47041,DeKalb,702
26065,Ingham,701
42051,Fayette,701
19131,Mitchell,700
40093,Major,700
51063,Floyd,700
27095,Mille Lacs,699
31053,Dodge,698
20149,Pottawatomie,697
31023,Butler,695
6033,Lake,694
20021,Cherokee,694
47077,Henderson,694
36017,Chenango,693
17107,Logan,691
27027,Clay,691
46023,Charles Mix,691
18017,Cass,690
18091,LaPorte,690
47079,Henry,690
15003,Honolulu,687
19179,Wapello,687
40143,Tulsa,687
46009,Bon Homme,687
8085,Montrose,686
16053,Jerome,686
37183,Wake,686
21175,Morgan,685
29001,Adair,684
19197,Wright,682
21015,Boone,682
38009,Bottineau,682
19153,Polk,681
29211,Sullivan,681
48077,Clay,680
17131,Mercer,679
19073,Greene,679
19133,Monona,679
20095,Kingman,679
39165,Warren,679
31011,Boone,678
55029,Door,678
19033,Cerro Gordo,677
48313,Madison,677
26017,Bay,676
29175,Randolph,676
31151,Saline,676
40011,Blaine,676
48253,Jones,676
